filename,width,height,visible_classes,annotation_priority
ebb42e5a-9488-49bd-9b26-ffa78743e87f.jpg,821,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
48a0a0cb-9f3b-4288-8354-f2db8b497111.jpg,853,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
208c0c6d-4cd2-4ac1-84a1-e7d3cad091ad.jpg,921,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
b2a1a7e3abbe457cce92ac490428bafa.jpg,564,1993,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
ef320344-ea55-4976-9b95-0f1e1dc643ad.jpg,1200,1200,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
229ae24b-cf49-47e0-b468-23c65fa4eb23.jpg,735,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
852f2a15-23c8-45aa-93f4-e65267a48d12.jpg,1024,882,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
dd9eca17-e850-4c37-a1c6-4745a3a0636d.jpg,797,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
64264b7a-b41e-4695-9708-90db5d7db793.jpg,669,1260,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
56db67df-d853-4289-ac26-d927001e4e97.jpg,960,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
9f997d51-b416-4f08-bfa1-b93584e05dd8.jpg,1001,1104,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
48dfdc56-913f-4504-a423-5501910cd5d2.jpg,1200,1191,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
89332ef9-a346-4a53-a645-61ace69768bb.jpg,1200,1237,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
72aab0a0-c546-4e47-addd-abd510c5bf79.jpg,1200,927,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
c0809e8f-ec3a-4b67-b4f2-f2c3c5df2cb7.jpg,720,1387,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
f195f446-4b67-4f62-ad4d-a7c9c52738c5.jpg,828,990,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
577f8173-8c69-4ac6-a63c-d9ffdcbc3e43.jpg,736,1234,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
2953a039-387c-48dc-ab13-fdb3b4bb49e4.jpg,745,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
4a17677b-cff0-4922-a564-4768195fe5a9.jpg,1200,899,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
8965571d50de06f23f465485f99b38e5.jpg,736,1334,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
58e168f2-f421-4997-a370-b22370e8ebc3.jpg,747,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
7c982f8e-a3fa-44ed-95b1-8dcd8b9321c2.jpg,656,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
a6b760d4-27da-4bea-9eb9-4c7639086d64.jpg,682,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
72dd621c-24fe-45ee-b8be-c177f3dfc4fb.jpg,667,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
2dc5bff5-9861-4449-bfcd-a934a3904781.jpg,942,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
714aced82de7341fa2677af01c144ec9.jpg,735,1048,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
65fce43ecf1817bc941558229757c178.jpg,736,1026,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
f2b70aa4-a288-4a30-be91-aca2ea066b4f.jpg,720,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
94da19bc-7654-43eb-9ba6-ae16efcbf547.jpg,650,929,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
6549ac644ce535a6039b8b8bfdc68f6e.jpg,674,900,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
250d3b53-94fb-4ac0-86f3-16e2df41c8ff.jpg,640,960,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
8c9c246a5549fe41707fbd5624fc1eac.jpg,541,556,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P2
